Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription
2016/11/24,57 North Road, Cathays, Cardiff, CF10 3DX,4,Shared House
2016/11/24,8 Senghenydd Road, Cathays, Cardiff, CF24 4AG,4,Shared House
2016/11/24,55 Harriet Street, Cathays, Cardiff, CF24 4BW,,Shared House
2016/11/24,46 Woodville Road, Cathays, Cardiff, CF24 4EB,0,Shared House
2016/11/24,27 May Street, Cathays, Cardiff, CF24 4EX,5,Shared House
2016/11/24,73 Cathays Terrace, Cathays, Cardiff, CF24 4HT,6,Shared House
2016/11/24,20 Robert Street, Cathays, Cardiff, CF24 4PD,3,Shared House
2016/11/24,20 Malefant Street, Cathays, Cardiff, CF24 4QB,5,Shared House
2016/11/24,110 Malefant Street, Cathays, Cardiff, CF24 4QE,6,Shared House
2016/11/24,84 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,4,Shared House
2016/11/24,64 Dogfield Street, Cathays, Cardiff, CF24 4QZ,4,Shared House
2016/11/24,96 Dogfield Street, Cathays, Cardiff, CF24 4QZ,6,Flats Section 257
2016/11/24,19 Shirley Road, Roath, Cardiff, CF23 5HL,6,Flats Section 257
2016/11/24,94 Connaught Road, Roath, Cardiff, CF24 3PX,8,Flats Section 257
2016/11/28,101 May Street, Cathays, Cardiff, CF24 4EZ,6,Shared House
2016/12/2,166 Rhymney Street, Cathays, Cardiff, CF24 4DJ,,Shared House
2016/12/2,49 Llantrisant Street, Cathays, Cardiff, CF24 4JD,0,Shared House
2016/12/2,18 Gelligaer Street, Cathays, Cardiff, CF24 4LA,0,Shared House
2016/12/5,39 Cranbrook Street, Cathays, Cardiff, CF24 4AL,7,Shared House
2016/12/5,47 Wyeverne Road, Cathays, Cardiff, CF24 4BG,3,Shared House
2016/12/5,51 Harriet Street, Cathays, Cardiff, CF24 4BW,6,Shared House
2016/12/5,80a Harriet Street, Cathays, Cardiff, CF24 4BX,4,Shared House
2016/12/5,80b Harriet Street, Cathays, Cardiff, CF24 4BX,4,Shared House
2016/12/5,97 Harriet Street, Cathays, Cardiff, CF24 4BX,3,Shared House
2016/12/5,26 Mundy Place, Cathays, Cardiff, CF24 4BZ,6,Shared House
2016/12/5,5 Llantrisant Street, Cathays, Cardiff, CF24 4JB,5,Shared House
2016/12/5,57 Merthyr Street, Cathays, Cardiff, CF24 4JL,8,Shared House
2016/12/5,19 Norman Street, Cathays, Cardiff, CF24 4NU,4,Shared House
2016/12/5,14 Dogfield Street, Cathays, Cardiff, CF24 4QJ,5,Shared House
2016/12/5,11 Richmond Crescent, Roath, Cardiff, CF24 3AH,,Shared House
2016/12/5,59 Richmond Road, Roath, Cardiff, CF24 3AR,6,Flats Section 257
2016/12/5,22 Kincraig Street, Roath, Cardiff, CF24 3HW,3,Flats Section 257
2016/12/5,14 Connaught Road, Roath, Cardiff, CF24 3PT,8,Shared House
2016/12/5,9 Inverness Place, Roath, Cardiff, CF24 4RU,4,Shared House
2016/12/5,5 Moy Road, Roath, Cardiff, CF24 4SG,4,Shared House
2016/12/5,121 Moy Road, Roath, Cardiff, CF24 4TF,6,Shared House
2016/12/6,20 Cogan Terrace, Cathays, Cardiff, CF24 4AX,6,Shared House
2016/12/6,24 Mundy Place, Cathays, Cardiff, CF24 4BZ,5,Shared House
2016/12/6,22 Richards Street, Cathays, Cardiff, CF24 4DA,4,Shared House
2016/12/6,90 Richards Street, Cathays, Cardiff, CF24 4DD,4,Shared House
2016/12/6,106 Rhymney Street, Cathays, Cardiff, CF24 4DG,4,Shared House
2016/12/6,47 Rhymney Street, Cathays, Cardiff, CF24 4DH,6,Shared House
2016/12/6,109a Woodville Road, Cathays, Cardiff, CF24 4DY,3,Shared House
2016/12/6,79 May Street, Cathays, Cardiff, CF24 4EY,3,Shared House
2016/12/6,21 Minister Street, Cathays, Cardiff, CF24 4HR,0,Shared House
2016/12/6,47 Cathays Terrace, Cathays, Cardiff, CF24 4HS,4,Shared House
2016/12/6,82 Cathays Terrace, Cathays, Cardiff, CF24 4HY,5,Shared House
2016/12/6,20 Llantrisant Street, Cathays, Cardiff, CF24 4JB,4,Shared House
2016/12/6,48 Hirwain Street, Cathays, Cardiff, CF24 4JH,4,Shared House
2016/12/6,7 Merthyr Street, Cathays, Cardiff, CF24 4JL,3,Shared House
2016/12/6,34 Treherbert Street, Cathays, Cardiff, CF24 4JN,4,Shared House
2016/12/6,27 Crwys Road, Cathays, Cardiff, CF24 4NB,,Shared House
2016/12/6,53 Dogfield Street, Cathays, Cardiff, CF24 4QL,3,Shared House
2016/12/6,50 Clare Road, Grangetown, Cardiff, CF11 6RS,3,Shared House
2016/12/6,23 Arran Street, Roath, Cardiff, CF24 3HR,5,Shared House
2016/12/7,124 Miskin Street, Cathays, Cardiff, CF24 4AS,5,Shared House
2016/12/7,15 Wyeverne Road, Cathays, Cardiff, CF24 4BG,8,Shared House
2016/12/7,137 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,3,Shared House
2016/12/7,9 Fitzroy Street, Cathays, Cardiff, CF24 4BL,3,Shared House
2016/12/7,26 Richards Street, Cathays, Cardiff, CF24 4DA,1,Shared House
2016/12/7,149 Cathays Terrace, Cathays, Cardiff, CF24 4HW,5,Shared House
2016/12/7,70 Llantrisant Street, Cathays, Cardiff, CF24 4JE,,Shared House
2016/12/7,4 Treorchy Street, Cathays, Cardiff, CF24 4JP,5,Shared House
2016/12/7,29 Cwmdare Street, Cathays, Cardiff, CF24 4JY,8,Shared House
2016/12/7,76 Brithdir Street, Cathays, Cardiff, CF24 4LF,7,Shared House
2016/12/7,62 Daniel Street, Cathays, Cardiff, CF24 4NY,7,Shared House
2016/12/7,72 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,8,Shared House
2016/12/7,68 Bedford Street, Roath, Cardiff, CF24 3DB,4,Shared House
2016/12/7,11 Connaught Road, Roath, Cardiff, CF24 3PT,3,Shared House
2016/12/8,20 Wyeverne Road, Cathays, Cardiff, CF24 4BH,4,Shared House
2016/12/8,8 Mundy Place, Cathays, Cardiff, CF24 4BZ,5,Shared House
2016/12/8,134 Rhymney Street, Cathays, Cardiff, CF24 4DJ,5,Shared House
2016/12/8,21 May Street, Cathays, Cardiff, CF24 4EW,5,Shared House
2016/12/8,4 May Street, Cathays, Cardiff, CF24 4EW,4,Shared House
2016/12/8,6 May Street, Cathays, Cardiff, CF24 4EW,4,Shared House
2016/12/8,11 Maindy Road, Cathays, Cardiff, CF24 4HL,7,Shared House
2016/12/8,50 Maindy Road, Cathays, Cardiff, CF24 4HQ,7,Shared House
2016/12/8,186 Cathays Terrace, Cathays, Cardiff, CF24 4HZ,7,Shared House
2016/12/8,19 Treherbert Street, Cathays, Cardiff, CF24 4JN,0,Shared House
2016/12/8,6 Treorchy Street, Cathays, Cardiff, CF24 4JP,3,Shared House
2016/12/8,9 Alexander Street, Cathays, Cardiff, CF24 4NT,,Shared House
2016/12/8,25 Florentia Street, Cathays, Cardiff, CF24 4PE,,Shared House
2016/12/8,105 Malefant Street, Cathays, Cardiff, CF24 4QE,3,Shared House
2016/12/8,58 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,0,Shared House
2016/12/8,36 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,5,Shared House
2016/12/8,23 Plasnewydd Road, Roath, Cardiff, CF24 3EN,4,Flats Section 257
2016/12/8,86 Mackintosh Place, Roath, Cardiff, CF24 4RR,,Flats Section 257
2016/12/8,74 Inverness Place, Roath, Cardiff, CF24 4SA,5,Shared House
2016/12/9,52 Salisbury Road, Cathays, Cardiff, CF24 4AD,7,Shared House
2016/12/9,2 Llantwit Street, Cathays, Cardiff, CF24 4AJ,0,Flats Section 257
2016/12/9,89 Wyeverne Road, Cathays, Cardiff, CF24 4BG,6,Shared House
2016/12/9,11 Thesiger Street, Cathays, Cardiff, CF24 4BN,7,Shared House
2016/12/9,20 Thesiger Street, Cathays, Cardiff, CF24 4BN,,Shared House
2016/12/9,46 Thesiger Street, Cathays, Cardiff, CF24 4BN,3,Shared House
2016/12/9,32 Harriet Street, Cathays, Cardiff, CF24 4BY,4,Bedsits
2016/12/9,105 Rhymney Street, Cathays, Cardiff, CF24 4DH,6,Shared House
2016/12/9,1 Flora Street, Cathays, Cardiff, CF24 4EP,0,Shared House
2016/12/9,10 Minny Street, Cathays, Cardiff, CF24 4ER,8,Shared House
2016/12/9,8 May Street, Cathays, Cardiff, CF24 4EW,7,Shared House
2016/12/9,92 Maindy Road, Cathays, Cardiff, CF24 4HQ,,Shared House
2016/12/9,82 Brithdir Street, Cathays, Cardiff, CF24 4LF,9,Shared House
2016/12/9,17 Daniel Street, Cathays, Cardiff, CF24 4NX,7,Shared House
2016/12/12,48 Salisbury Road, Cathays, Cardiff, CF24 4AD,,Shared House
2016/12/12,11 Coburn Street, Cathays, Cardiff, CF24 4BQ,6,Shared House
2016/12/12,106 Richards Street, Cathays, Cardiff, CF24 4DD,4,Shared House
2016/12/12,58 Cosmeston Street, Cathays, Cardiff, CF24 4LR,0,Shared House
2016/12/12,First Floor Flat 185 Richmond Road, Roath, Cardiff, CF24 3BT,3,Flat in Multiple Occupation
2016/12/12,Ground Floor Flat 185 Richmond Road, Roath, Cardiff, CF24 3BT,4,Flats Section 257
2016/12/12,Second Floor Flat 185 Richmond Road, Roath, Cardiff, CF24 3BT,4,Flat in Multiple Occupation
2016/12/12,24 Crofts Street, Roath, Cardiff, CF24 3DZ,4,Shared House
2016/12/12,144 Mackintosh Place, Roath, Cardiff, CF24 4RS,5,Shared House
2016/12/12,178 Mackintosh Place, Roath, Cardiff, CF24 4RT,,Shared House
2016/12/12,23 Braeval Street, Roath, Cardiff, CF24 4SJ,1,Shared House
2016/12/13,102 Miskin Street, Cathays, Cardiff, CF24 4AR,7,Shared House
2016/12/13,92 Miskin Street, Cathays, Cardiff, CF24 4AR,9,Shared House
2016/12/13,94 Miskin Street, Cathays, Cardiff, CF24 4AR,9,Shared House
2016/12/13,111 Cathays Terrace, Cathays, Cardiff, CF24 4HU,9,Shared House
2016/12/13,25 Boverton Street, Roath, Cardiff, CF23 5ES,4,Shared House
2016/12/13,29 Boverton Street, Roath, Cardiff, CF23 5ES,5,Shared House
2016/12/13,41 Russell Street, Roath, Cardiff, CF24 3BG,5,Shared House
2016/12/13,89 Moy Road, Roath, Cardiff, CF24 4TE,4,Shared House
2016/12/14,55 Cathays Terrace, Cathays, Cardiff, CF24 4HT,0,Shared House
2016/12/14,15 Merthyr Street, Cathays, Cardiff, CF24 4JL,5,Shared House
2016/12/14,2 Fairoak Road, Cathays, Cardiff, CF24 4PX,6,Shared House
2016/12/14,25 Llanishen Street, Gabalfa, Cardiff, CF14 3QB,4,Shared House
2016/12/14,7 Inverness Place, Roath, Cardiff, CF24 4RU,3,Shared House
2016/12/15,138 Colum Road, Cathays, Cardiff, CF10 3EJ,8,Shared House
2016/12/15,126 Miskin Street, Cathays, Cardiff, CF24 4AS,4,Shared House
2016/12/15,21 Richards Street, Cathays, Cardiff, CF24 4DA,4,Shared House
2016/12/15,17 Letty Street, Cathays, Cardiff, CF24 4EJ,5,Shared House
2016/12/15,24 Flora Street, Cathays, Cardiff, CF24 4EP,5,Shared House
2016/12/15,47 Flora Street, Cathays, Cardiff, CF24 4EQ,6,Shared House
2016/12/15,57 Flora Street, Cathays, Cardiff, CF24 4EQ,7,Shared House
2016/12/15,61 May Street, Cathays, Cardiff, CF24 4EY,5,Shared House
2016/12/15,82 May Street, Cathays, Cardiff, CF24 4EY,4,Shared House
2016/12/15,68 Cathays Terrace, Cathays, Cardiff, CF24 4HY,4,Shared House
2016/12/15,17 Pentyrch Street, Cathays, Cardiff, CF24 4JW,3,Shared House
2016/12/15,7 Cyprian House Monthermer Road, Cathays, Cardiff, CF24 4QY,8,Shared House
2016/12/15,81 Richmond Road, Roath, Cardiff, CF24 3BR,5,Flats Section 257
2016/12/15,149 Moy Road, Roath, Cardiff, CF24 4TH,8,Shared House
2016/12/16,21 Hirwain Street, Cathays, Cardiff, CF24 4JG,7,Shared House
2016/12/16,6 Alexander Street, Cathays, Cardiff, CF24 4NT,1,Shared House
2016/12/16,44 Dogfield Street, Cathays, Cardiff, CF24 4QZ,,Shared House
2016/12/16,92 Dogfield Street, Cathays, Cardiff, CF24 4QZ,4,Shared House
2016/12/16,15 Richmond Crescent, Roath, Cardiff, CF24 3AH,7,Flats Section 257
2016/12/16,123 Treharris Street, Roath, Cardiff, CF24 3HP,3,Shared House
2016/12/28,50 Richards Street, Cathays, Cardiff, CF24 4DB,5,Shared House
2016/12/28,93 Richards Street, Cathays, Cardiff, CF24 4DD,4,Shared House
2016/12/28,64 Minny Street, Cathays, Cardiff, CF24 4ET,4,Shared House
2016/12/28,4 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,7,Shared House
2016/12/28,32 Talworth Street, Roath, Cardiff, CF24 3EJ,8,Shared House
2016/12/29,3 Catherine Street, Cathays, Cardiff, CF24 4EF,5,Shared House
2016/12/29,65 Woodville Road, Cathays, Cardiff, CF24 4FX,4,Shared House
2016/12/29,66 Cathays Terrace, Cathays, Cardiff, CF24 4HY,6,Shared House
2016/12/29,1 Florentia Street, Cathays, Cardiff, CF24 4PE,5,Shared House
2016/12/29,38 Dogfield Street, Cathays, Cardiff, CF24 4QZ,4,Shared House
2016/12/29,42 Dogfield Street, Cathays, Cardiff, CF24 4QZ,4,Shared House
2016/12/29,19 Mackintosh Place, Roath, Cardiff, CF24 4RJ,3,Shared House
2016/12/30,170 Rhymney Street, Cathays, Cardiff, CF24 4DJ,4,Shared House
2016/12/30,145 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House
2016/12/30,163 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House
2016/12/30,173 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House
2016/12/30,128 Woodville Road, Cathays, Cardiff, CF24 4EE,4,Shared House
2016/12/30,1 Catherine Street, Cathays, Cardiff, CF24 4EF,9,Shared House
2016/12/30,18 Whitchurch Place, Cathays, Cardiff, CF24 4HD,,Flats Section 257
2016/12/30,7 Llantrisant Street, Cathays, Cardiff, CF24 4JB,,Shared House
2016/12/30,38 Hirwain Street, Cathays, Cardiff, CF24 4JH,,Shared House
2016/12/30,17 Norman Street, Cathays, Cardiff, CF24 4NU,6,Shared House
2016/12/30,11 Daniel Street, Cathays, Cardiff, CF24 4NX,4,Shared House
2016/12/30,11 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,7,Shared House
2016/12/30,128 Mackintosh Place, Roath, Cardiff, CF24 4RR,7,Shared House
2017/1/3,92 Colum Road, Cathays, Cardiff, CF10 3EH,8,Shared House
2017/1/3,3 Wyeverne Road, Cathays, Cardiff, CF24 4BG,4,Shared House
2017/1/3,9 Wyeverne Road, Cathays, Cardiff, CF24 4BG,,Flats Section 257
2017/1/3,81 Harriet Street, Cathays, Cardiff, CF24 4BX,5,Shared House
2017/1/3,1 Richards Street, Cathays, Cardiff, CF24 4DA,7,Shared House
2017/1/3,15 Woodville Road, Cathays, Cardiff, CF24 4DW,4,Shared House
2017/1/3,38 Letty Street, Cathays, Cardiff, CF24 4EL,4,Shared House
2017/1/3,48 Letty Street, Cathays, Cardiff, CF24 4EL,6,Shared House
2017/1/3,29 Minny Street, Cathays, Cardiff, CF24 4ES,5,Shared House
2017/1/3,46 Treherbert Street, Cathays, Cardiff, CF24 4JN,3,Shared House
2017/1/3,9 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,3,Shared House
2017/1/3,19 Kelvin Road, Roath, Cardiff, CF23 5ET,5,Shared House
2017/1/3,71 Glenroy Street, Roath, Cardiff, CF24 3JY,4,Shared House
2017/1/3,40 Pen-Y-Lan Road, Roath, Cardiff, CF24 3PF,6,Shared House
2017/1/3,179 Mackintosh Place, Roath, Cardiff, CF24 4RP,8,Shared House
2017/1/3,92 Diana Street, Roath, Cardiff, CF24 4TW,3,Shared House
2017/1/4,78 Coburn Street, Cathays, Cardiff, CF24 4BT,7,Shared House
2017/1/4,51 Cathays Terrace, Cathays, Cardiff, CF24 4HS,5,Shared House
2017/1/4,24 Merthyr Street, Cathays, Cardiff, CF24 4JJ,4,Shared House
2017/1/4,31 Dogfield Street, Cathays, Cardiff, CF24 4QL,3,Shared House
2017/1/4,110 Donald Street, Roath, Cardiff, CF24 4TN,4,Shared House
2017/1/4,71 Diana Street, Roath, Cardiff, CF24 4TT,3,Shared House
2017/1/5,1 Harriet Street, Cathays, Cardiff, CF24 4BU,5,Shared House
2017/1/5,14 Minny Street, Cathays, Cardiff, CF24 4ER,4,Shared House
2017/1/5,21 Llantrisant Street, Cathays, Cardiff, CF24 4JD,4,Shared House
2017/1/5,13 Lisvane Street, Cathays, Cardiff, CF24 4LH,4,Shared House
2017/1/5,88 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,1,Shared House
2017/1/5,41 Bedford Street, Roath, Cardiff, CF24 3DA,7,Shared House
2017/1/5,5 Plasnewydd Square, Roath, Cardiff, CF24 3HX,3,Shared House
2017/1/5,18 Connaught Road, Roath, Cardiff, CF24 3PT,4,Flats Section 257
2017/1/5,27 Donald Street, Roath, Cardiff, CF24 4TJ,5,Shared House
2017/1/6,37 Colum Road, Cathays, Cardiff, CF10 3EE,7,Shared House
2017/1/6,66 Minny Street, Cathays, Cardiff, CF24 4ET,6,Shared House
2017/1/6,27 Merthyr Street, Cathays, Cardiff, CF24 4JL,3,Shared House
2017/1/6,10 Brithdir Street, Cathays, Cardiff, CF24 4LG,1,Shared House
2017/1/6,29 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,4,Shared House
2017/1/6,10a Albany Road, Roath, Cardiff, CF24 3RP,5,Flats Section 257
2017/1/9,35 Wyeverne Road, Cathays, Cardiff, CF24 4BG,5,Shared House
2017/1/9,91 Wyeverne Road, Cathays, Cardiff, CF24 4BG,7,Flats Section 257
2017/1/9,117 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,3,Shared House
2017/1/9,110 Rhymney Street, Cathays, Cardiff, CF24 4DG,5,Shared House
2017/1/9,115 Richmond Road, Roath, Cardiff, CF24 3BS,5,Flats Section 257
2017/1/9,81 Claude Road, Roath, Cardiff, CF24 3QB,6,Shared House
2017/1/9,47 Diana Street, Roath, Cardiff, CF24 4TT,5,Shared House
2017/1/10,53 Hirwain Street, Cathays, Cardiff, CF24 4JG,6,Shared House
2017/1/10,11 Alexander Street, Cathays, Cardiff, CF24 4NT,5,Shared House
2017/1/10,2a Alexander Street, Cathays, Cardiff, CF24 4NT,5,Shared House
2017/1/10,7 Malefant Street, Cathays, Cardiff, CF24 4QB,5,Shared House
2017/1/10,6 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,6,Shared House
2017/1/10,18 Strathnairn Street, Roath, Cardiff, CF24 3JN,5,Shared House
2017/1/10,13 Angus Street, Roath, Cardiff, CF24 3LW,5,Shared House
2017/1/10,54 Claude Road, Roath, Cardiff, CF24 3QA,6,Flats Section 257
2017/1/10,73 Arabella Street, Roath, Cardiff, CF24 4SX,5,Shared House
2017/1/10,30 Moy Road, Roath, Cardiff, CF24 4TF,5,Shared House
2017/1/11,43 Brithdir Street, Cathays, Cardiff, CF24 4LE,5,Shared House
2017/1/11,83 Mackintosh Place, Roath, Cardiff, CF24 4RL,6,Shared House
2017/1/11,129 Mackintosh Place, Roath, Cardiff, CF24 4RN,5,Shared House
2017/1/11,32 Braeval Street, Roath, Cardiff, CF24 4SJ,0,Shared House
2017/1/11,88 Donald Street, Roath, Cardiff, CF24 4TR,5,Shared House
2017/1/12,32 Lisvane Street, Cathays, Cardiff, CF24 4LL,1,Shared House
2017/1/12,1 Pearson Street, Roath, Cardiff, CF24 3EL,5,Shared House
2017/1/12,1 Wellfield Place, Roath, Cardiff, CF24 3PD,4,Shared House
2017/1/12,105 Arabella Street, Roath, Cardiff, CF24 4SX,4,Shared House
2017/1/12,56 Alfred Street, Roath, Cardiff, CF24 4TZ,7,Shared House
2017/1/13,8 Fanny Street, Cathays, Cardiff, CF24 4EH,4,Flats Section 257
2017/1/13,23 Princes Street, Roath, Cardiff, CF24 3PS,5,Shared House
2017/1/16,64 Colum Road, Cathays, Cardiff, CF10 3EH,8,Shared House
2017/1/17,18 Colum Road, Cathays, Cardiff, CF10 3EG,3,Shared House
2017/1/17,124 Woodville Road, Cathays, Cardiff, CF24 4EE,5,Flats Section 257
2017/1/17,23 Minny Street, Cathays, Cardiff, CF24 4ES,7,Shared House
2017/1/17,63 Minny Street, Cathays, Cardiff, CF24 4ET,4,Shared House
2017/1/17,111 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House
2017/1/17,120 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House
2017/1/17,56 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,4,Shared House
2017/1/17,55 Monthermer Road, Cathays, Cardiff, CF24 4QX,6,Shared House
2017/1/17,9 Cyprian House Monthermer Road, Cathays, Cardiff, CF24 4QY,4,Shared House
2017/1/17,75 Inverness Place, Roath, Cardiff, CF24 4RW,6,Shared House
2017/1/17,11 Braeval Street, Roath, Cardiff, CF24 4SJ,6,Shared House
2017/1/18,88 Woodville Road, Cathays, Cardiff, CF24 4ED,3,Flats Section 257
2017/1/20,10 Senghenydd Road, Cathays, Cardiff, CF24 4AG,6,Shared House
2017/1/23,77 Richards Street, Cathays, Cardiff, CF24 4DD,5,Shared House
2017/1/23,83 Woodville Road, Cathays, Cardiff, CF24 4DX,6,Shared House
2017/1/23,69 Dogfield Street, Cathays, Cardiff, CF24 4QL,3,Shared House
2017/1/24,50 Harriet Street, Cathays, Cardiff, CF24 4BW,4,Shared House
2017/1/24,111 Rhymney Street, Cathays, Cardiff, CF24 4DH,4,Shared House
2017/1/24,69 Rhymney Street, Cathays, Cardiff, CF24 4DH,5,Shared House
2017/1/24,155 Rhymney Street, Cathays, Cardiff, CF24 4DL,1,Shared House
2017/1/24,134 Woodville Road, Cathays, Cardiff, CF24 4EE,4,Shared House
2017/1/24,11 Bruce Street, Cathays, Cardiff, CF24 4PJ,7,Shared House
2017/1/24,90 Monthermer Road, Cathays, Cardiff, CF24 4QY,4,Shared House
2017/1/24,15 Fitzhamon Embankment, Riverside, Cardiff, CF11 6AN,6,Shared House
2017/1/24,57 Bedford Street, Roath, Cardiff, CF24 3DA,4,Shared House
2017/1/24,53 Strathnairn Street, Roath, Cardiff, CF24 3JL,,Shared House
2017/1/25,111 Cyfarthfa Street, Roath, Cardiff, CF24 3HG,,Shared House
2017/1/30,63 North Road, Cathays, Cardiff, CF10 3DX,5,Shared House
2017/1/30,23 Llantwit Street, Cathays, Cardiff, CF24 4AJ,4,Shared House
2017/1/30,25 Llantwit Street, Cathays, Cardiff, CF24 4AJ,6,Shared House
2017/1/30,70 Cathays Terrace, Cathays, Cardiff, CF24 4HY,,Shared House
2017/1/30,57 Robert Street, Cathays, Cardiff, CF24 4PD,,Shared House
2017/1/30,65 Robert Street, Cathays, Cardiff, CF24 4PD,,Shared House
2017/1/30,81 Allensbank Road, Heath, Cardiff, CF14 3PP,6,Flats Section 257
2017/1/30,18 Northcote Street, Roath, Cardiff, CF24 3BH,1,Shared House
2017/1/30,78 Bedford Street, Roath, Cardiff, CF24 3DB,5,Shared House
2017/1/30,7 Talworth Street, Roath, Cardiff, CF24 3EH,5,Shared House
2017/1/30,93 Arran Street, Roath, Cardiff, CF24 3HU,3,Shared House
2017/1/30,137 Albany Road, Roath, Cardiff, CF24 3NT,4,Shared House
2017/2/1,59 Woodville Road, Cathays, Cardiff, CF24 4FX,,Flats Section 257
2017/2/1,91 Bedford Street, Roath, Cardiff, CF24 3DB,3,Shared House
2017/2/2,6 Senghenydd Road, Cathays, Cardiff, CF24 4AG,4,Shared House
2017/2/2,19 Llantwit Street, Cathays, Cardiff, CF24 4AJ,5,Shared House
2017/2/2,12 Bedford Street, Roath, Cardiff, CF24 3BZ,6,Shared House
2017/2/2,74 Bedford Street, Roath, Cardiff, CF24 3DB,4,Shared House
2017/2/2,49 Elm Street, Roath, Cardiff, CF24 3QS,,Shared House
2017/2/3,7 Letty Street, Cathays, Cardiff, CF24 4EJ,5,Shared House
2017/2/3,86 Dogfield Street, Cathays, Cardiff, CF24 4QZ,5,Shared House
2017/2/8,48 Miskin Street, Cathays, Cardiff, CF24 4AQ,4,Shared House
2017/2/8,37 Thesiger Street, Cathays, Cardiff, CF24 4BP,6,Shared House
2017/2/8,44 Letty Street, Cathays, Cardiff, CF24 4EL,5,Shared House
2017/2/8,33 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House
2017/2/8,39 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House
2017/2/8,15 May Street, Cathays, Cardiff, CF24 4EW,0,Shared House
2017/2/8,204 Cathays Terrace, Cathays, Cardiff, CF24 4JA,6,Shared House
2017/2/8,26 Llantrisant Street, Cathays, Cardiff, CF24 4JB,5,Shared House
2017/2/8,2 Treherbert Street, Cathays, Cardiff, CF24 4JN,5,Shared House
2017/2/8,12 Brithdir Street, Cathays, Cardiff, CF24 4LG,5,Shared House
2017/2/8,13 Daniel Street, Cathays, Cardiff, CF24 4NX,6,Shared House
2017/2/8,56 Daniel Street, Cathays, Cardiff, CF24 4NY,6,Shared House
2017/2/8,37 Russell Street, Roath, Cardiff, CF24 3BG,3,Shared House
2017/2/8,59 Bangor Street, Roath, Cardiff, CF24 3LQ,5,Shared House
2017/2/8,37 Connaught Road, Roath, Cardiff, CF24 3PU,5,Flats Section 257
2017/2/8,32 Mackintosh Place, Roath, Cardiff, CF24 4RQ,3,Shared House
2017/2/9,71 Cwmdare Street, Cathays, Cardiff, CF24 4JZ,0,Shared House
2017/2/9,32 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,4,Shared House
2017/2/9,21 Clun Terrace, Cathays, Cardiff, CF24 4RB,12,Shared House
2017/2/9,25 Richmond Crescent, Roath, Cardiff, CF24 3AH,5,Flats Section 257
2017/2/10,27 Flora Street, Cathays, Cardiff, CF24 4EQ,4,Shared House
2017/2/10,29 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House
2017/2/10,31 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House
2017/2/10,53 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House
2017/2/10,63 Woodville Road, Cathays, Cardiff, CF24 4FX,6,Shared House
2017/2/10,3 Daniel Street, Cathays, Cardiff, CF24 4NX,6,Shared House
2017/2/10,14 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,5,Shared House
2017/2/13,157 Rhymney Street, Cathays, Cardiff, CF24 4DL,5,Shared House
2017/2/13,80 Minny Street, Cathays, Cardiff, CF24 4ET,7,Shared House
2017/2/13,82 Minny Street, Cathays, Cardiff, CF24 4ET,5,Shared House
2017/2/13,44 May Street, Cathays, Cardiff, CF24 4EX,7,Shared House
2017/2/13,60 Daniel Street, Cathays, Cardiff, CF24 4NY,7,Shared House
2017/2/13,20 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,5,Shared House
2017/2/13,5 Cyprian House Monthermer Road, Cathays, Cardiff, CF24 4QY,7,Shared House
2017/2/13,6 Cyprian House Monthermer Road, Cathays, Cardiff, CF24 4QY,4,Shared House
2017/2/13,29 Tydfil Place, Roath, Cardiff, CF23 5HP,4,Shared House
2017/2/13,155 Richmond Road, Roath, Cardiff, CF24 3BT,4,Shared House
2017/2/14,21 Glynrhondda Street, Cathays, Cardiff, CF24 4AN,0,Shared House
2017/2/14,71 Claude Road, Roath, Cardiff, CF24 3QB,4,Flats Section 257
2017/2/15,42 Salisbury Road, Cathays, Cardiff, CF24 4AD,5,Shared House
