Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription
2016/8/22,95 Cathays Terrace, Cathays, Cardiff, CF24 4HT,5,Shared House
2016/8/22,1 Lucas Street, Cathays, Cardiff, CF24 4NZ,4,Shared House
2016/8/22,84 Monthermer Road, Cathays, Cardiff, CF24 4QY,6,Shared House
2016/8/22,50 Diana Street, Roath, Cardiff, CF24 4TW,4,Shared House
2016/8/23,6 Wyeverne Road, Cathays, Cardiff, CF24 4BH,6,Shared House
2016/8/23,22 May Street, Cathays, Cardiff, CF24 4EW,3,Shared House
2016/8/23,81 May Street, Cathays, Cardiff, CF24 4EY,6,Shared House
2016/8/23,69 Woodville Road, Cathays, Cardiff, CF24 4FX,9,Shared House
2016/8/23,79 Shirley Road, Roath, Cardiff, CF23 5HL,7,Shared House
2016/8/23,116 Cottrell Road, Roath, Cardiff, CF24 3EX,8,Shared House
2016/8/23,1 Keppoch Street, Roath, Cardiff, CF24 3JS,3,Shared House
2016/8/23,9 Alfred Street, Roath, Cardiff, CF24 4TY,4,Shared House
2016/8/24,95 Rhymney Street, Cathays, Cardiff, CF24 4DH,6,Shared House
2016/8/24,34 Flora Street, Cathays, Cardiff, CF24 4EQ,6,Shared House
2016/8/24,122 Cathays Terrace, Cathays, Cardiff, CF24 4HY,5,Shared House
2016/8/24,122 Cottrell Road, Roath, Cardiff, CF24 3EX,4,Shared House
2016/8/25,34 Mackintosh Place, Roath, Cardiff, CF24 4RQ,5,Shared House
2016/8/25,22 Alfred Street, Roath, Cardiff, CF24 4TY,6,Flats Section 257
2016/8/30,7 Dogfield Street, Cathays, Cardiff, CF24 4QJ,6,Shared House
2016/8/31,3 Colum Place, Cathays, Cardiff, CF10 3EP,4,Shared House
2016/8/31,109 Rhymney Street, Cathays, Cardiff, CF24 4DH,,Shared House
2016/8/31,10 Darran Street, Cathays, Cardiff, CF24 4JF,4,Shared House
2016/8/31,90 Gelligaer Street, Cathays, Cardiff, CF24 4LB,5,Shared House
2016/8/31,33 Lisvane Street, Cathays, Cardiff, CF24 4LH,7,Shared House
2016/8/31,9 Daniel Street, Cathays, Cardiff, CF24 4NX,5,Shared House
2016/8/31,48 Daniel Street, Cathays, Cardiff, CF24 4NY,4,Shared House
2016/8/31,40 Florentia Street, Cathays, Cardiff, CF24 4PE,4,Shared House
2016/8/31,61 Dogfield Street, Cathays, Cardiff, CF24 4QL,0,Shared House
2016/8/31,71 Dogfield Street, Cathays, Cardiff, CF24 4QL,4,Shared House
2016/8/31,42 Russell Street, Roath, Cardiff, CF24 3BG,5,Shared House
2016/8/31,18 Cyfarthfa Street, Roath, Cardiff, CF24 3HE,4,Shared House
2016/8/31,21 Keppoch Street, Roath, Cardiff, CF24 3JS,4,Shared House
2016/8/31,23 Connaught Road, Roath, Cardiff, CF24 3PT,5,Shared House
2016/8/31,132 Albany Road, Roath, Cardiff, CF24 3RU,5,Flats Section 257
2016/8/31,5 Pen-Y-Wain Road, Roath, Cardiff, CF24 4GB,3,Shared House
2016/8/31,75 Pen-Y-Wain Road, Roath, Cardiff, CF24 4GG,,Shared House
2016/8/31,15 Mackintosh Place, Roath, Cardiff, CF24 4RJ,4,Shared House
2016/8/31,146 Inverness Place, Roath, Cardiff, CF24 4RX,9,Shared House
2016/8/31,47 Moy Road, Roath, Cardiff, CF24 4SH,1,Shared House
2016/8/31,70 Alfred Street, Roath, Cardiff, CF24 4TZ,5,Shared House
2016/9/8,19 Rhymney Street, Cathays, Cardiff, CF24 4DF,4,Shared House
2016/9/8,76 Rhymney Street, Cathays, Cardiff, CF24 4DG,3,Shared House
2016/9/8,47 Brithdir Street, Cathays, Cardiff, CF24 4LE,7,Shared House
2016/9/9,12 Colum Road, Cathays, Cardiff, CF10 3EG,6,Shared House
2016/9/9,82 Thesiger Street, Cathays, Cardiff, CF24 4BP,8,Shared House
2016/9/9,55 Woodville Road, Cathays, Cardiff, CF24 4FX,5,Flats Section 257
2016/9/9,128 Cathays Terrace, Cathays, Cardiff, CF24 4HY,4,Shared House
2016/9/9,17 Treherbert Street, Cathays, Cardiff, CF24 4JN,5,Shared House
2016/9/9,16 Dogfield Street, Cathays, Cardiff, CF24 4QJ,0,Shared House
2016/9/9,52 Monthermer Road, Cathays, Cardiff, CF24 4RA,4,Shared House
2016/9/9,2 Tulloch Street, Roath, Cardiff, CF24 3LU,5,Shared House
2016/9/9,1 Claude Place, Roath, Cardiff, CF24 3QF,5,Shared House
2016/9/9,51 Moy Road, Roath, Cardiff, CF24 4SH,,Shared House
2016/9/9,125 Donald Street, Roath, Cardiff, CF24 4TN,5,Shared House
2016/9/12,14 Miskin Street, Cathays, Cardiff, CF24 4AQ,,Shared House
2016/9/12,130 Miskin Street, Cathays, Cardiff, CF24 4AS,7,Shared House
2016/9/12,31 Coburn Street, Cathays, Cardiff, CF24 4BQ,5,Shared House
2016/9/12,47 Richards Street, Cathays, Cardiff, CF24 4DB,8,Shared House
2016/9/12,57 Cathays Terrace, Cathays, Cardiff, CF24 4HT,4,Shared House
2016/9/12,15 Llantrisant Street, Cathays, Cardiff, CF24 4JB,3,Shared House
2016/9/12,33 Hirwain Street, Cathays, Cardiff, CF24 4JG,4,Shared House
2016/9/12,8 Treherbert Street, Cathays, Cardiff, CF24 4JN,0,Shared House
2016/9/12,Ravenscourt         108-114 Richmond Road, Roath, Cardiff, CF24 3BW,3,Flats Section 257
2016/9/12,Ravenscourt         108-114 Richmond Road, Roath, Cardiff, CF24 3BW,,Flats Section 257
2016/9/12,18 Bangor Street, Roath, Cardiff, CF24 3LR,,Shared House
2016/9/12,76 Angus Street, Roath, Cardiff, CF24 3LX,,Shared House
2016/9/12,182 Inverness Place, Roath, Cardiff, CF24 4SB,7,Shared House
2016/9/12,177 Arabella Street, Roath, Cardiff, CF24 4SZ,5,Shared House
2016/9/12,73 Moy Road, Roath, Cardiff, CF24 4TD,3,Shared House
2016/9/13,10 Coburn Street, Cathays, Cardiff, CF24 4BS,4,Shared House
2016/9/13,14 Minister Street, Cathays, Cardiff, CF24 4HR,5,Shared House
2016/9/13,139a Cathays Terrace, Cathays, Cardiff, CF24 4HU,4,Shared House
2016/9/13,98 Gelligaer Street, Cathays, Cardiff, CF24 4LB,8,Shared House
2016/9/13,25 Brithdir Street, Cathays, Cardiff, CF24 4LE,7,Shared House
2016/9/13,43a Crwys Road, Cathays, Cardiff, CF24 4ND,5,Flats Section 257
2016/9/13,20 Angus Street, Roath, Cardiff, CF24 3LY,4,Shared House
2016/9/13,120 Claude Road, Roath, Cardiff, CF24 3QE,8,Flats Section 257
2016/9/13,8 Partridge Road, Roath, Cardiff, CF24 3QX,4,Flats Section 257
2016/9/13,36 Mackintosh Place, Roath, Cardiff, CF24 4RQ,3,Shared House
2016/9/13,56 Mackintosh Place, Roath, Cardiff, CF24 4RQ,3,Shared House
2016/9/13,19 Inverness Place, Roath, Cardiff, CF24 4RU,4,Shared House
2016/9/13,101 Arabella Street, Roath, Cardiff, CF24 4SX,3,Shared House
2016/9/13,40 Moy Road, Roath, Cardiff, CF24 4TG,5,Shared House
2016/9/13,113-115 Alfred Street, Roath, Cardiff, CF24 4UA,9,Shared House
2016/9/16,29 Florentia Street, Cathays, Cardiff, CF24 4PE,3,Shared House
2016/9/26,"Library Court, Fairoak Road", Cathays, Cardiff, CF24 4PX,34,Combined HMO/ Flat/s
2016/9/28,100 Coburn Street, Cathays, Cardiff, CF24 4BT,0,Shared House
2016/9/28,108 Richards Street, Cathays, Cardiff, CF24 4DD,7,Shared House
2016/9/28,90 Rhymney Street, Cathays, Cardiff, CF24 4DG,3,Shared House
2016/9/28,221 Mackintosh Place, Roath, Cardiff, CF24 4RP,3,Flats Section 257
2016/10/3,27 Coburn Street, Cathays, Cardiff, CF24 4BQ,3,Shared House
2016/10/3,23 Minister Street, Cathays, Cardiff, CF24 4HR,0,Shared House
2016/10/3,68 Moy Road, Roath, Cardiff, CF24 4TH,6,Shared House
2016/10/4,17 Blackweir Terrace, Cathays, Cardiff, CF10 3EQ,8,Shared House
2016/10/4,112 Salisbury Road, Cathays, Cardiff, CF24 4AE,5,Flats Section 257
2016/10/4,117 Richards Street, Cathays, Cardiff, CF24 4DD,4,Shared House
2016/10/4,35 May Street, Cathays, Cardiff, CF24 4EX,4,Shared House
2016/10/4,19 Gelligaer Street, Cathays, Cardiff, CF24 4LA,6,Shared House
2016/10/4,49 Monthermer Road, Cathays, Cardiff, CF24 4QX,4,Shared House
2016/10/4,61 Monthermer Road, Cathays, Cardiff, CF24 4QX,5,Shared House
2016/10/4,90 Manor Street, Gabalfa, Cardiff, CF14 3PX,4,Shared House
2016/10/4,2 Blaenclydach Street, Grangetown, Cardiff, CF11 7BB,5,Shared House
2016/10/4,73 Glenroy Street, Roath, Cardiff, CF24 3JY,5,Shared House
2016/10/4,88 Inverness Place, Roath, Cardiff, CF24 4SA,4,Shared House
2016/10/5,56/58 Colum Road, Cathays, Cardiff, CF10 3EH,6,Shared House
2016/10/5,58 Colum Road, Cathays, Cardiff, CF10 3EH,4,Flats Section 257
2016/10/5,8 Richards Street, Cathays, Cardiff, CF24 4DA,3,Shared House
2016/10/5,16 Letty Street, Cathays, Cardiff, CF24 4EJ,7,Shared House
2016/10/5,2 Treorchy Street, Cathays, Cardiff, CF24 4JP,5,Shared House
2016/10/5,28 Treorchy Street, Cathays, Cardiff, CF24 4JP,6,Shared House
2016/10/5,100 Malefant Street, Cathays, Cardiff, CF24 4QE,17,Shared House
2016/10/5,1 Cyfarthfa Street, Roath, Cardiff, CF24 3HE,,Flats Section 257
2016/10/6,55 Cranbrook Street, Cathays, Cardiff, CF24 4AL,5,Shared House
2016/10/6,17 Fitzroy Street, Cathays, Cardiff, CF24 4BL,5,Shared House
2016/10/6,7 May Street, Cathays, Cardiff, CF24 4EW,3,Shared House
2016/10/6,65 May Street, Cathays, Cardiff, CF24 4EY,6,Shared House
2016/10/6,25 Robert Street, Cathays, Cardiff, CF24 4PB,10,Shared House
2016/10/6,125 Malefant Street, Cathays, Cardiff, CF24 4QF,5,Shared House
2016/10/6,12 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,3,Shared House
2016/10/6,65 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,5,Shared House
2016/10/6,8 Ninian Road, Roath, Cardiff, CF23 5EE,8,Flats Section 257
2016/10/6,1 Gordon Road, Roath, Cardiff, CF24 3AJ,4,Flats Section 257
2016/10/6,44 Russell Street, Roath, Cardiff, CF24 3BG,5,Shared House
2016/10/6,131 Richmond Road, Roath, Cardiff, CF24 3BS,8,Flats Section 257
2016/10/6,226a City Road, Roath, Cardiff, CF24 3JH,3,Shared House
2016/10/6,58 Connaught Road, Roath, Cardiff, CF24 3PW,3,Flats Section 257
2016/10/6,30 Mackintosh Place, Roath, Cardiff, CF24 4RQ,4,Shared House
2016/10/10,5 Minister Street, Cathays, Cardiff, CF24 4HR,6,Shared House
2016/10/10,45 Glenroy Street, Roath, Cardiff, CF24 3JX,5,Shared House
2016/10/10,88 Diana Street, Roath, Cardiff, CF24 4TW,5,Shared House
2016/10/13,28 Florentia Street, Cathays, Cardiff, CF24 4PE,3,Shared House
2016/10/13,88 Richmond Road, Roath, Cardiff, CF24 3BW,3,Flats Section 257
2016/10/13,First Floor Flat  203 Mackintosh Place, Roath, Cardiff, CF24 4RP,3,Shared House
2016/10/13,Ground Floor Flat 203 Mackintosh Place, Roath, Cardiff, CF24 4RP,3,Shared House
2016/10/14,48 Wyeverne Road, Cathays, Cardiff, CF24 4BH,5,Shared House
2016/10/14,7 Richards Street, Cathays, Cardiff, CF24 4DA,5,Shared House
2016/10/14,161 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House
2016/10/14,212 Cathays Terrace, Cathays, Cardiff, CF24 4JA,5,Shared House
2016/10/14,31 Brithdir Street, Cathays, Cardiff, CF24 4LE,5,Shared House
2016/10/14,36 Brithdir Street, Cathays, Cardiff, CF24 4LG,0,Shared House
2016/10/14,46 Daniel Street, Cathays, Cardiff, CF24 4NY,4,Shared House
2016/10/14,49 Robert Street, Cathays, Cardiff, CF24 4PD,5,Shared House
2016/10/17,74 Richards Street, Cathays, Cardiff, CF24 4DD,5,Shared House
2016/10/17,145 Cathays Terrace, Cathays, Cardiff, CF24 4HW,4,Shared House
2016/10/17,15a Llantrisant Street, Cathays, Cardiff, CF24 4JB,6,Shared House
2016/10/17,16 Llantrisant Street, Cathays, Cardiff, CF24 4JB,4,Shared House
2016/10/17,2 Llantrisant Street, Cathays, Cardiff, CF24 4JB,5,Shared House
2016/10/17,3 Brithdir Street, Cathays, Cardiff, CF24 4LE,5,Shared House
2016/10/17,58 Brithdir Street, Cathays, Cardiff, CF24 4LF,4,Shared House
2016/10/17,89 Malefant Street, Cathays, Cardiff, CF24 4QE,7,Shared House
2016/10/17,46 Alfred Street, Roath, Cardiff, CF24 4TZ,6,Shared House
2016/10/19,38 Colum Road, Cathays, Cardiff, CF10 3EH,1,Shared House
